Ticker_Symbol,Security,GICS_Sector,GICS_Sub_Industry,Current_Price,Price_Change,Volatility,ROE,Cash_Ratio,Net_Cash_Flow,Net_Income,Earnings_Per_Share,Estimated_Shares_Outstanding,P/E_Ratio,P/B_Ratio,Cluster
MMM,3M,Industrials,Industrial Conglomerates,160.44000244140625,11.605366094526106,6.992384742118945,71.458,16.14775040055428,2322374912.0,2787000064.0,5.18,521567261.0,30.972975,25.64578,3
AOS,A. O. Smith,Industrials,Building Products,62.720001220703125,-2.4789882571493305,3.2746806267362416,28.267,20.70893436207089,495612512.0,527600000.0,3.75,111965465.0,16.725334,4.603303,1
ABT,Abbott Laboratories,Health Care,Health Care Equipment,95.4000015258789,-6.159818009197551,5.057675647127213,12.3339996,17.287997763716298,6341125120.0,6252000256.0,3.57,1741813154.0,26.72269,3.1918097,2
ACN,Accenture,Information Technology,IT Consulting & Other Services,137.35000610351562,-30.37708913323155,21.248847518197955,24.406,74.25447274714693,12089380864.0,7789751808.0,12.53,611942109.0,10.961693,2.6352143,2
ADBE,Adobe Inc.,Information Technology,Application Software,219.72000122070312,-10.083483110207784,20.428106962926357,62.953997,77.62348114249646,9218374656.0,7229000192.0,17.49,397500000.0,12.562608,7.6114593,2
AMD,Advanced Micro Devices,Information Technology,Semiconductors,517.8200073242188,135.18031817119615,106.77274851287446,8.062999999999999,119.4908001711596,7173374976.0,4931999744.0,3.0,1630600639.0,172.60667,13.093787,0
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,14.579999923706056,2.9991084059519197,0.1901614464469688,5.2600004,4.559833566074838,-2964999936.0,1380000000.0,1.92,713157713.0,7.59375,2.3523717,1
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,130.69000244140625,14.020710742720146,8.890108535411898,21.330999,49.18345127925966,930625024.0,1414000000.0,4.98,282431944.0,26.242971,5.178713,1
APD,Air Products,Materials,Industrial Gases,314.19000244140625,7.4873379449050255,9.858036328036846,12.353,4.75937862833807,-3519237376.0,2115299968.0,9.49,222680686.0,33.107483,4.4705467,1
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",148.92999267578125,17.443415774033706,5.399937572878563,32.325,248.83309759547384,3191000064.0,2516999936.0,4.05,417930233.0,36.772835,11.604332,0
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,113.16999816894533,-1.247818782038381,22.17672717681113,9.1680005,10.916816636672666,700723392.0,435179008.0,2.97,145385451.0,38.104378,3.355571,1
ALGN,Align Technology,Health Care,Health Care Supplies,184.52000427246097,7.36021965128246,9.43344800332716,10.824,409.358789653188,532954624.0,429892000.0,5.94,71618127.0,31.063974,3.1847289,1
ALLE,Allegion,Industrials,Building Products,140.5800018310547,0.6987666573397223,6.235730566032929,34.179002000000004,12.530931808040242,494362496.0,633699968.0,7.32,85935861.0,19.204918,5.7494583,1
LNT,Alliant Energy,Utilities,Electric Utilities,78.02999877929688,8.508144411753348,1.6677936385720615,11.3120005,0.736565682444117,-1202625024.0,821000000.0,3.18,258277037.0,24.537735,2.7153149,1
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,359.9100036621094,20.045664768361892,25.93809505096316,38.884997,33.39299030574198,27921750016.0,160207994880.0,13.1,5867155790.0,27.474045,9.1084175,2
